Internet Speed test 19.October.2020

Time	Ping[ms]	Download[Mb/s]	Upload[Mb/s]
20:36	58.107	4.31	6.75
20:39	56.327	4.98	8.56
20:43	56.704	4.51	6.91
20:46	97.305	3.66	6.61
20:50	53.482	3.22	2.98
20:53	49.304	3.19	9.94
20:56	43.38	5.29	9.47
21:00	45.794	3.31	7.27
21:03	49.73	2.61	7.97
21:07	49.17	5.03	8.35
21:10	48.93	2.88	7.39
21:13	48.678	4.38	8.39
21:17	49.766	4.81	7.67
21:20	49.487	4.13	6.87
21:24	59.626	4.1	8.12
21:27	52.109	6.03	9.82
21:30	54.631	3.39	9.73
21:34	49.191	1.97	9.86
21:37	51.585	2.78	9.42
21:41	54.36	4.64	9.87
21:44	56.48	7.67	10.18
21:47	50.015	5.88	9.37
21:51	50.379	4.23	7.96
21:54	49.841	6.8	10.75
21:58	59.268	8.88	10.54
22:01	55.201	4.52	8.62
22:04	56.834	7.36	10.1
22:08	52.945	9.07	10.89
22:11	53.092	4.37	11.19
22:15	52.467	7.92	10.68
22:18	56.524	9.77	11.01
22:21	56.012	7.74	9.72
22:25	42.54	7.2	9.79
22:28	47.163	3.78	8.25
22:32	44.66	7.58	8.71
22:35	43.569	4.05	9.86
22:38	47.325	5.8	9.92
22:42	45.872	7.75	11.11
22:45	43.753	7.43	9.94
22:49	46.36	6.36	9.51
22:52	48.065	9.21	10.38
22:55	49.603	5.29	9.85
22:59	42.885	8.1	9.35
23:02	54.034	6.21	9.06
23:05	40.233	8.52	8.95
23:09	52.823	3.83	9.29
23:12	43.461	6.66	9.08
23:16	47.304	5.33	10.06
23:19	43.242	5.64	10.19
23:22	48.392	7.71	10.12
23:26	49.181	6.39	10.06
23:29	48.316	6.57	10.84
23:33	47.492	8.05	10.08
23:36	49.506	6.93	10.57
23:39	49.172	6.15	10.0
23:43	48.066	8.29	10.35
23:46	47.537	9.18	10.85
23:50	49.509	11.25	10.54
23:53	43.913	11.35	8.84
23:56	46.013	10.99	9.98
00:00	48.486	9.83	10.7
00:03	45.174	7.52	7.27
00:07	46.162	11.04	11.29
00:10	55.079	8.05	11.03
00:13	45.362	7.35	11.08
00:17	45.119	10.44	11.47
00:20	48.77	8.91	10.86
00:24	48.833	10.5	12.24
00:27	48.748	8.79	10.81
06:14	43.903	15.34	12.25
06:18	50.69	12.96	12.12
06:21	41.34	13.15	11.81
06:25	60.658	10.69	9.22
06:28	48.638	7.67	9.84
06:31	51.84	10.81	10.61
06:35	55.856	13.1	10.28
06:38	49.677	17.68	11.59
06:41	57.689	12.91	11.28
06:45	49.477	11.92	10.99
06:48	55.773	14.89	10.78
06:52	55.324	9.19	9.8
06:55	50.286	12.05	10.88
06:58	51.566	8.24	9.79
07:02	48.548	4.27	8.04
07:05	51.313	11.12	11.57
07:09	49.939	13.13	4.18
07:12	48.888	7.33	9.81
07:15	49.844	5.32	8.94
07:19	54.221	10.35	10.05
07:22	58.483	10.32	9.95
07:26	49.92	8.56	9.07
07:29	49.093	8.25	9.99
07:32	47.841	8.67	9.11
07:36	52.472	7.92	9.98
07:39	46.422	8.2	9.57
07:43	52.754	3.99	8.81
07:46	57.397	10.68	10.38
07:49	48.3	9.89	10.55
07:53	49.328	5.6	2.93
07:56	49.93	5.9	9.33
08:00	42.996	4.36	9.36
08:03	50.082	10.99	10.65
08:06	49.122	11.7	10.9
08:10	48.613	10.73	9.36
08:13	45.644	13.21	10.19
08:17	48.304	4.46	9.03
08:20	54.261	7.86	8.95
08:23	50.577	5.55	7.72
08:27	52.498	8.84	9.88
08:30	51.861	4.99	8.15
08:34	45.929	7.89	10.05
08:37	49.816	9.78	10.04
08:40	51.013	8.14	10.28
08:44	45.638	7.16	9.11
08:47	45.678	9.69	8.99
08:50	47.341	7.73	9.8
08:54	45.849	8.8	10.7
08:57	47.081	7.83	9.48
09:01	44.608	6.2	9.6
09:04	49.379	3.75	7.56
09:07	46.897	9.12	9.62
09:11	48.865	7.07	9.69
09:14	46.503	7.87	9.79
09:18	50.159	5.19	9.22
09:21	51.314	6.27	9.71
09:24	47.221	6.41	9.4
09:28	49.567	4.0	7.68
09:31	47.031	8.17	9.85
09:35	46.615	10.49	9.09
09:38	53.969	8.32	9.3
09:41	51.641	4.9	8.42
09:45	54.73	5.67	9.04
09:48	53.793	8.86	9.68
09:52	52.141	4.11	6.83
09:55	48.597	4.62	8.29
09:58	42.597	5.73	9.2
10:02	47.508	9.5	9.87
10:05	44.537	9.57	8.84
10:09	52.892	7.54	9.13
10:12	42.457	9.76	10.08
10:15	47.525	3.91	8.28
10:19	46.661	6.42	9.05
10:22	49.412	6.48	9.64
10:26	41.648	6.49	10.36
10:29	46.851	6.8	10.35
10:32	52.315	5.71	9.89
10:36	54.833	7.35	8.07
10:39	44.389	6.91	9.84
10:42	49.873	5.84	9.91
10:46	47.332	5.4	8.62
